Id,Name,ProvinceId
1,JAKARTA PUSAT,1
2,JAKARTA BARAT,1
3,JAKARTA SELATAN,1
4,JAKARTA TIMUR,1
5,JAKARTA UTARA,1
6,KEPULAUAN SERIBU,1
7,TANGERANG,2
8,TANGERANG SELATAN,2
9,BOGOR,3
10,DEPOK,3
11,BEKASI,3
12,MEDAN,4
13,DELI SERDANG,4
14,TEBING TINGGI,4
15,BINJAI,4
16,LANGKAT,4
17,SERDANG BEDAGAI,4
18,PEMATANG SIANTAR,4
19,SIMALUNGUN,4
20,ASAHAN,4
21,BATU BARA,4
22,TANJUNG BALAI,4
23,LABUHAN BATU,4
24,LABUHAN BATU UTARA,4
25,LABUHAN BATU SELATAN,4
26,KARO,4
27,DAIRI,4
28,PAKPAK BHARAT,4
29,TOBA SAMOSIR,4
30,SAMOSIR,4
31,TAPANULI UTARA,4
32,HUMBANG HASUNDUTAN,4
33,SIBOLGA,4
34,TAPANULI TENGAH,4
35,PADANG SIDEMPUAN,4
36,TAPANULI SELATAN,4
37,PADANG LAWAS UTARA,4
38,PADANG LAWAS,4
39,GUNUNGSITOLI,4
40,NIAS BARAT,4
41,NIAS UTARA,4
42,NIAS,4
43,NIAS SELATAN,4
44,MANDAILING NATAL,4
45,BANDA ACEH,5
46,ACEH BESAR,5
47,SABANG,5
48,ACEH BARAT,5
49,ACEH JAYA,5
50,NAGAN RAYA,5
51,ACEH SELATAN,5
52,ACEH BARAT DAYA,5
53,SIMEULUE,5
54,PIDIE,5
55,PIDIE JAYA,5
56,BIREUEN,5
57,LHOKSEUMAWE,5
58,ACEH UTARA,5
59,LANGSA,5
60,ACEH TIMUR,5
61,ACEH TAMIANG,5
62,ACEH TENGAH,5
63,BENER MERIAH,5
64,ACEH TENGGARA,5
65,GAYO LUES,5
66,SUBULUSSALAM,5
67,ACEH SINGKIL,5
68,PADANG,6
69,KEPULAUAN MENTAWAI,6
70,PARIAMAN,6
71,PADANG PARIAMAN,6
72,PESISIR SELATAN,6
73,BUKITTINGGI,6
74,AGAM,6
75,PAYAKUMBUH,6
76,LIMA PULUH KOTO/KOTA,6
77,PASAMAN,6
78,PASAMAN BARAT,6
79,PADANG PANJANG,6
80,TANAH DATAR,6
81,SOLOK,6
82,SAWAH LUNTO,6
83,SIJUNJUNG (SAWAH LUNTO SIJUNJUNG),6
84,DHARMASRAYA,6
85,SOLOK SELATAN,6
86,PEKANBARU,7
87,PELALAWAN,7
88,KAMPAR,7
89,ROKAN HULU,7
90,SIAK,7
91,BENGKALIS,7
92,KEPULAUAN MERANTI,7
93,DUMAI,7
94,ROKAN HILIR,7
95,TANJUNG PINANG,8
96,BINTAN,8
97,INDRAGIRI HILIR,7
98,INDRAGIRI HULU,7
99,BATAM,8
100,KUANTAN SINGINGI,7
101,KARIMUN,8
102,NATUNA,8
103,KEPULAUAN ANAMBAS,8
104,LINGGA,8
105,PALEMBANG,9
106,OGAN KOMERING ILIR,9
107,OGAN ILIR,9
108,MUSI BANYUASIN,9
109,MUSI RAWAS,9
110,BANYUASIN,9
111,PRABUMULIH,9
112,MUARA ENIM,9
113,LAHAT,9
114,EMPAT LAWANG,9
115,PAGAR ALAM,9
116,LUBUK LINGGAU,9
117,OGAN KOMERING ULU,9
118,OGAN KOMERING ULU TIMUR,9
119,OGAN KOMERING ULU SELATAN,9
120,PANGKAL PINANG,10
121,BANGKA,10
122,BANGKA BARAT,10
123,BELITUNG,10
124,BELITUNG TIMUR,10
125,BANGKA TENGAH,10
126,BANGKA SELATAN,10
127,METRO,11
128,LAMPUNG TENGAH,11
129,LAMPUNG TIMUR,11
130,TULANG BAWANG BARAT,11
131,LAMPUNG UTARA,11
132,TULANG BAWANG,11
133,MESUJI,11
134,WAY KANAN,11
