Id,Name
1,DKI JAKARTA
2,BANTEN
3,JAWA BARAT
4,SUMATERA UTARA
5,NANGGROE ACEH DARUSSALAM (NAD)
6,SUMATERA BARAT
7,RIAU
8,KEPULAUAN RIAU
9,SUMATERA SELATAN
10,BANGKA BELITUNG
11,LAMPUNG
12,JAMBI
13,BENGKULU
14,JAWA TENGAH
15,DI YOGYAKARTA
16,JAWA TIMUR
17,KALIMANTAN SELATAN
18,KALIMANTAN TENGAH
19,KALIMANTAN TIMUR
20,KALIMANTAN UTARA
21,KALIMANTAN BARAT
22,BALI
23,NUSA TENGGARA BARAT (NTB)
24,NUSA TENGGARA TIMUR (NTT)
25,SULAWESI SELATAN
26,SULAWESI BARAT
27,SULAWESI TENGGARA
28,SULAWESI TENGAH
29,SULAWESI UTARA
30,GORONTALO
31,MALUKU
32,MALUKU UTARA
33,PAPUA
34,PAPUA BARAT
