Id,Name,DistrictId,PostalCode
1,GAMBIR,1,10110
2,KEBON KELAPA,1,10120
3,PETOJO UTARA,1,10130
4,DURI PULO,1,10140
5,CIDENG,1,10150
6,PETOJO SELATAN,1,10160
7,BENDUNGAN HILIR,2,10210
8,KARET TENGSIN,2,10220
9,KEBON MELATI,2,10230
10,KEBON KACANG,2,10240
11,KAMPUNG BALI,2,10250
12,PETAMBURAN,2,10260
13,GELORA,2,10270
14,MENTENG,3,10310
15,PEGANGSAAN,3,10320
16,CIKINI,3,10330
17,KEBON SIRIH,3,10340
18,GONDANGDIA,3,10350
19,SENEN,4,10410
20,KWITANG,4,10420
21,KENARI,4,10430
22,PASEBAN,4,10440
23,KRAMAT,4,10450
24,BUNGUR,4,10460
25,CEMPAKA PUTIH TIMUR,5,10510
26,CEMPAKA PUTIH BARAT,5,10520
27,GALUR,6,10530
28,TANAH TINGGI,6,10540
29,KAMPUNG RAWA,6,10550
30,JOHAR BARU,6,10560
31,RAWASARI,5,10570
32,GUNUNG SAHARI SELATAN,7,10610
33,KEMAYORAN,7,10620
34,KEBON KOSONG,7,10630
35,CEMPAKA BARU,7,10640
36,HARAPAN MULYA,7,10640
37,SUMUR BATU,7,10640
38,SERDANG,7,10650
39,UTAN PANJANG,7,10650
40,PASAR BARU,8,10710
41,GUNUNG SAHARI UTARA,8,10720
42,MANGGA DUA SELATAN,8,10730
43,KARANG ANYAR,8,10740
44,KARTINI,8,10750
45,PINANGSIA,9,11110
46,GLODOK,9,11120
47,KEAGUNGAN,9,11130
48,KRUKUT,9,11140
49,TAMAN SARI,9,11150
50,MAPHAR,9,11160
51,TANGKI,9,11170
52,MANGGA BESAR,9,11180
53,TANAH SEREAL,10,11210
54,TAMBORA,10,11220
55,ROA MALAKA,10,11230
56,PEKOJAN,10,11240
57,JEMBATAN LIMA,10,11250
58,KRENDANG,10,11260
59,DURI SELATAN,10,11270
60,DURI UTARA,10,11270
61,KALI ANYAR,10,11310
62,JEMBATAN BESI,10,11320
63,ANGKE,10,11330
64,SLIPI,11,11410
65,KOTA BAMBU SELATAN,11,11420
66,KOTA BAMBU UTARA,11,11420
67,JATIPULO,11,11430
68,TOMANG,12,11440
69,GROGOL,12,11450
70,JELAMBAR,12,11460
71,JELAMBAR BARU,12,11460
72,WIJAYA KUSUMA,12,11460
73,TANJUNG DUREN SELATAN,12,11470
74,TANJUNG DUREN UTARA,12,11470
75,KEMANGGISAN,11,11480
76,PALMERAH,11,11480
77,DURI KEPA,13,11510
78,KEDOYA SELATAN,13,11520
79,KEDOYA UTARA,13,11520
80,KEBON JERUK,13,11530
81,SUKABUMI UTARA (ILIR),13,11540
82,KELAPA DUA,13,11550
83,SUKABUMI SELATAN (UDIK),13,11560
84,KEMBANGAN SELATAN,14,11610
85,KEMBANGAN UTARA,14,11610
86,MERUYA UTARA (ILIR),14,11620
87,SRENGSENG,14,11630
88,JOGLO,14,11640
89,MERUYA SELATAN (UDIK),14,11650
90,KEDAUNG KALI ANGKE,15,11710
91,KAPUK,15,11720
92,CENGKARENG BARAT,15,11730
93,CENGKARENG TIMUR,15,11730
94,RAWA BUAYA,15,11740
95,DURI KOSAMBI,15,11750
96,KAMAL,16,11810
